"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower","Upper","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"55","SMC01320",2022,1.01914883,-0.790368714618715,"DS_Mag_50","NAT",1.11914883,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",1.01914883
"56","SMC02656",2018,0.46463614,4.08904329004329,"DS_Mag_50","HB",0.56463614,29.35,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.46463614
"57","SMC02656",2018,0.46463614,4.08904329004329,"DS_Mag_50","HB",0.56463614,29.35,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.46463614
"58","801M16957",2019,0.48212764,1.20609981684982,"DS_Mag_50","NAT",0.58212764,7481.97,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.48212764
"59","412M08602",2015,0.41044659,30.8408154345655,"DS_Mag_50","HB",0.51044659,86.41,"NAT",-10.7138647980125,10.3609923839238,"No","No",66.4049337284659,"Type E",0.41044659
"60","412M08602",2015,0.41044659,30.8408154345655,"DS_Mag_50","HB",0.51044659,86.41,"HB",-24.4146852806944,29.2186977663974,"No","No",5.259645846945,"Type C",0.41044659
"61","412M08616",2016,0.48068983,3.32127322677323,"DS_Mag_50","HB",0.58068983,13.25,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.48068983
"62","412M08616",2016,0.48068983,3.32127322677323,"DS_Mag_50","HB",0.58068983,13.25,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.48068983
"63","SMC17056",2009,0.72649786,10.6977474192474,"DS_Mag_50","NAT",0.82649786,61.98,"NAT",-10.7138647980125,10.3609923839238,"No","No",3.14790602288579,"Type B",0.72649786
"64","SMC04294",2013,0.78366223,1.39869272394273,"DS_Mag_50","NAT",0.88366223,14.3,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.78366223
"65","412M08642",2018,0.69076579,22.7544548784549,"DS_Mag_50","HB",0.79076579,87.32,"NAT",-10.7138647980125,10.3609923839238,"No","No",54.4660927309925,"Type E",0.69076579
"66","412M08642",2018,0.69076579,22.7544548784549,"DS_Mag_50","HB",0.79076579,87.32,"HB",-24.4146852806944,29.2186977663974,"No","No",28.4086914956736,"Type E",0.69076579
"67","404M04672",2020,0.7231196,13.157228021978,"DS_Mag_50","NAT",0.8231196,62.7,"NAT",-10.7138647980125,10.3609923839238,"No","No",21.2524677187576,"Type E",0.7231196
"68","SMC05968",2020,0.92788204,-7.2275929070929,"DS_Mag_50","NAT",1.02788204,86.89,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.92788204
"69","906M21758",2017,0.76665115,4.91313836163836,"DS_Mag_50","NAT",0.86665115,75.51,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.76665115
"70","SMC05407",2011,1.01209826,1.23608391608391,"DS_Mag_50","NAT",1.11209826,2.43,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",1.01209826
"71","403M05774",2016,0.76272586,10.5921439393939,"DS_Mag_50","NAT",0.86272586,88.65,"NAT",-10.7138647980125,10.3609923839238,"No","No",2.18229243100076,"Type B",0.76272586
"72","SMC01979",2011,0.94480292,10.7178681318681,"DS_Mag_50","NAT",1.04480292,88.82,"NAT",-10.7138647980125,10.3609923839238,"No","Yes",3.32972699004551,"Type X",0.94480292
"73","SMC03929",2012,0.73059828,2.35464493839494,"DS_Mag_50","NAT",0.83059828,15.29,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.73059828
"74","SMC06740",2013,0.52573471,12.8356191308691,"DS_Mag_50","HB",0.62573471,77.52,"NAT",-10.7138647980125,10.3609923839238,"No","No",19.2793718925013,"Type E",0.52573471
"75","SMC06740",2013,0.52573471,12.8356191308691,"DS_Mag_50","HB",0.62573471,77.52,"HB",-24.4146852806944,29.2186977663974,"No","No",127.637618945297,"Type E",0.52573471
"76","SMC22521",2013,0.49731068,2.49595596070596,"DS_Mag_50","HB",0.59731068,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.49731068
"77","SMC22521",2013,0.49731068,2.49595596070596,"DS_Mag_50","HB",0.59731068,0,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.49731068
"78","SMC00236",2021,0.44057374,4.40859865134864,"DS_Mag_50","HB",0.54057374,34.48,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.44057374
"79","SMC00236",2021,0.44057374,4.40859865134864,"DS_Mag_50","HB",0.54057374,34.48,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.44057374
"80","412M08646",2019,0.63867762,1.13202347652348,"DS_Mag_50","HB",0.73867762,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.63867762
"81","412M08646",2019,0.63867762,1.13202347652348,"DS_Mag_50","HB",0.73867762,0,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.63867762
"82","SMC12862",2019,0.36552573,22.6159293206793,"DS_Mag_50","HB",0.46552573,40.68,"NAT",-10.7138647980125,10.3609923839238,"No","No",54.1871915276547,"Type E",0.36552573
"83","SMC12862",2019,0.36552573,22.6159293206793,"DS_Mag_50","HB",0.46552573,40.68,"HB",-24.4146852806944,29.2186977663974,"No","No",29.1952117115998,"Type E",0.36552573
"84","SMC04121",2012,0.51538713,2.74308608058608,"DS_Mag_50","NAT",0.61538713,1129.38,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.51538713
"85","SMC04880",2012,0.9317443,1.17362454212454,"DS_Mag_50","NAT",1.0317443,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.9317443
"86","901M14134",2016,0.66986137,0.710446137196138,"DS_Mag_50","NAT",0.76986137,1727.08,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.66986137
"87","SMC00345",2011,0.5701193,1.3599875957376,"DS_Mag_50","NAT",0.6701193,2045.61,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.5701193
"88","SMC02988",2014,0.64388338,1.12975582750583,"DS_Mag_50","HB",0.74388338,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.64388338
"89","SMC02988",2014,0.64388338,1.12975582750583,"DS_Mag_50","HB",0.74388338,0,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.64388338
"90","SMC07085",2011,0.46263341,2.49595596070596,"DS_Mag_50","HB",0.56263341,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.46263341
"91","SMC07085",2011,0.46263341,2.49595596070596,"DS_Mag_50","HB",0.56263341,0,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.46263341
"92","402M00042",2017,0.66807478,1.06080627705628,"DS_Mag_50","NAT",0.76807478,1144.41,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.66807478
"93","402M00009",2015,0.28871308,1.33734315684316,"DS_Mag_50","NAT",0.38871308,6972.78,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.28871308
"94","906M23361",2019,0.68469947,12.8206654179154,"DS_Mag_50","NAT",0.78469947,13.65,"NAT",-10.7138647980125,10.3609923839238,"No","No",19.1852213111692,"Type E",0.68469947
"95","402M00127",2019,0.65418093,3.10044846819847,"DS_Mag_50","NAT",0.75418093,382.2,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.65418093
"96","404M07372",2019,0.52934004,-12.3148715451215,"DS_Mag_50","NAT",0.62934004,131.79,"NAT",-10.7138647980125,10.3609923839238,"No","No",13.0005964028365,"Type E",0.52934004
"97","802M17015",2020,0.95669495,-0.303796953046953,"DS_Mag_50","NAT",1.05669495,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.95669495
"98","404M07368",2018,0.46191342,-12.1975779220779,"DS_Mag_50","NAT",0.56191342,135.52,"NAT",-10.7138647980125,10.3609923839238,"No","No",12.1639979145355,"Type E",0.46191342
"99","904M21713",2015,0.50790164,0.762981268731267,"DS_Mag_50","HB",0.60790164,2.62,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.50790164
"100","904M21713",2015,0.50790164,0.762981268731267,"DS_Mag_50","HB",0.60790164,2.62,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.50790164
"101","SMC01257",2011,0.68267913,1.00635572760573,"DS_Mag_50","SB2",0.78267913,100.36,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.68267913
"102","SMC01257",2011,0.68267913,1.00635572760573,"DS_Mag_50","SB2",0.78267913,100.36,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.68267913
"103","801M12625",2015,0.39757171,-8.69349966699967,"DS_Mag_50","HB",0.49757171,53.72,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.39757171
"104","801M12625",2015,0.39757171,-8.69349966699967,"DS_Mag_50","HB",0.49757171,53.72,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.39757171
"105","SMC01912",2012,0.40445942,5.32226207126207,"DS_Mag_50","HB",0.50445942,16.91,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.40445942
"106","SMC01912",2012,0.40445942,5.32226207126207,"DS_Mag_50","HB",0.50445942,16.91,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.40445942
"107","SMC02206",2011,0.52646484,0.342031218781219,"DS_Mag_50","SB2",0.62646484,99.41,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.52646484
"108","SMC02206",2011,0.52646484,0.342031218781219,"DS_Mag_50","SB2",0.62646484,99.41,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.52646484
"109","SMC02417",2011,0.5792463,0.762981268731267,"DS_Mag_50","HB",0.6792463,2.62,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.5792463
"110","SMC02417",2011,0.5792463,0.762981268731267,"DS_Mag_50","HB",0.6792463,2.62,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.5792463
"111","SMC05524",2011,0.63736343,3.42300133200134,"DS_Mag_50","SB2",0.73736343,99.91,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.63736343
"112","SMC05524",2011,0.63736343,3.42300133200134,"DS_Mag_50","SB2",0.73736343,99.91,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.63736343
"113","412M08638",2017,0.99199514,1.04437437562438,"DS_Mag_50","NAT",1.09199514,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.99199514
"114","412M08640",2018,0.3487884,18.3634537962038,"DS_Mag_50","HB",0.4487884,12.58,"NAT",-10.7138647980125,10.3609923839238,"No","No",43.5781934111671,"Type E",0.3487884
"115","412M08640",2018,0.3487884,18.3634537962038,"DS_Mag_50","HB",0.4487884,12.58,"HB",-24.4146852806944,29.2186977663974,"No","No",59.1133023812637,"Type E",0.3487884
"116","403M01625",2020,0.95499837,6.70630103230104,"DS_Mag_50","NAT",1.05499837,82.01,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.95499837
"117","SMC01726",2019,0.42642806,45.3482225274725,"DS_Mag_50","HB",0.52642806,93.63,"NAT",-10.7138647980125,10.3609923839238,"No","No",77.1523737724296,"Type E",0.42642806
"118","SMC01726",2019,0.42642806,45.3482225274725,"DS_Mag_50","HB",0.52642806,93.63,"HB",-24.4146852806944,29.2186977663974,"No","No",35.5681520952748,"Type E",0.42642806
"119","907M23362",2017,0.8851193,0.24401615051615,"DS_Mag_50","NAT",0.9851193,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.8851193
"120","SMC03222",2012,0.58573482,1.9488499000999,"DS_Mag_50","HB",0.68573482,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.58573482
"121","SMC03222",2012,0.58573482,1.9488499000999,"DS_Mag_50","HB",0.68573482,0,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type D",0.58573482
"122","SMC04175",2009,0.8362015,3.13876423576423,"DS_Mag_50","NAT",0.9362015,61.81,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.8362015
"123","403M05795",2017,0.87747204,6.47824991674993,"DS_Mag_50","NAT",0.97747204,81.5,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.87747204
"124","404M04599",2016,1.02408172,5.83864901764901,"DS_Mag_50","NAT",1.12408172,79.47,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",1.02408172
"125","404M07346",2015,0.65191934,1.45094413919414,"DS_Mag_50","NAT",0.75191934,949.73,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.65191934
"126","408M03019",2015,0.71478848,3.66309515484516,"DS_Mag_50","SB0",0.81478848,61.7,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.71478848
"127","408M03019",2015,0.71478848,3.66309515484516,"DS_Mag_50","SB0",0.81478848,61.7,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.71478848
"128","906M23318",2015,0.40645762,11.4625168165168,"DS_Mag_50","NAT",0.50645762,725.23,"NAT",-10.7138647980125,10.3609923839238,"No","No",9.60979556431942,"Type B",0.40645762
"129","SMC00476",2009,1.0184354,2.32550524475524,"DS_Mag_50","NAT",1.1184354,48.16,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",1.0184354
"130","SMC01452",2010,0.39455766,1.13202347652348,"DS_Mag_50","HB",0.49455766,648.4,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.39455766
"131","SMC01452",2010,0.39455766,1.13202347652348,"DS_Mag_50","HB",0.49455766,648.4,"HB",-24.4146852806944,29.2186977663974,"Yes","No",NA,"Type E",0.39455766
"132","SMC04399",2009,0.64968236,8.85889618714618,"DS_Mag_50","NAT",0.74968236,75.07,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.64968236
"133","SMC06302",2012,0.53709324,0.342031218781219,"DS_Mag_50","SB2",0.63709324,99.41,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.53709324
"134","SMC06302",2012,0.53709324,0.342031218781219,"DS_Mag_50","SB2",0.63709324,99.41,"SB2",-15.8037617728112,15.4734295507655,"Yes","No",NA,"Type E",0.53709324
"135","SMC11727",2010,0.90018908,0.769275308025308,"DS_Mag_50","NAT",1.00018908,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.90018908
"136","911M24945",2017,0.74180933,0.448547202797203,"DS_Mag_50","NAT",0.84180933,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.74180933
"137","SMC13214",2013,0.45440705,15.0697981185481,"DS_Mag_50","SB2",0.55440705,30.52,"NAT",-10.7138647980125,10.3609923839238,"No","No",31.2466411134509,"Type E",0.45440705
"138","SMC13214",2013,0.45440705,15.0697981185481,"DS_Mag_50","SB2",0.55440705,30.52,"SB2",-15.8037617728112,15.4734295507655,"No","No",2.67841300223263,"Type C",0.45440705
"139","405PS0030",2021,0.71424503,-7.2275929070929,"DS_Mag_50","NAT",0.81424503,6.09,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.71424503
"140","403M01629",2020,0.83371596,2.17547111222111,"DS_Mag_50","NAT",0.93371596,44.59,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.83371596
"141","404M07376",2019,0.96669337,6.13190501165501,"DS_Mag_50","NAT",1.06669337,80.4,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.96669337
"142","SMC01384",2020,0.84384812,5.94519821844822,"DS_Mag_50","NAT",0.94384812,79.73,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.84384812
"143","SMC01174",2011,0.72977406,9.02237279387279,"DS_Mag_50","NAT",0.82977406,66.39,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.72977406
"144","404M07349",2015,0.72473013,5.94519821844822,"DS_Mag_50","NAT",0.82473013,23.88,"NAT",-10.7138647980125,10.3609923839238,"Yes","No",NA,"Type A",0.72473013
"145","SMC04239",2009,0.79716481,0.507085414585415,"DS_Mag_50","NAT",0.89716481,0,"NAT",-10.7138647980125,10.3609923839238,"Yes","Yes",NA,"Type X",0.79716481
"146","SMC02484",2013,0.52408964,52.1415014152515,"DS_Mag_50","HB",0.62408964,94.47,"NAT",-10.7138647980125,10.3609923839238,"No","No",80.1290869984553,"Type E",0.52408964
