"","df","AIC","DevianceExplained","RSquared","Variable","Metric","Smooths","Quants"
"gamm_int_slope...87",11.7838519680815,-472.230444841603,0.384866909227229,0.412173868044422,"d_fa_mag","csci",6,0.5
"gamm_intercept...88",9.71887303203683,-448.983489411336,0.368295214797223,0.400707133093202,"d_peak_10","csci",6,0.5
"gamm_slope...89",9.61164610969421,-165.468115131651,0.160436561781425,0.156556100614073,"d_peak_10","csci",6,0.5
"gamm_int_slope...90",9.74381808581058,-453.73841516366,0.36929286449669,0.400766775515871,"d_peak_10","csci",6,0.5
"gamm_intercept...91",9.34170012319458,-481.444892991564,0.38079372354235,0.422066523904928,"d_peak_2","csci",6,0.5
"gamm_slope...92",9.4682126226164,-77.2682413731882,0.0732249783573401,0.0679085043585337,"d_peak_2","csci",6,0.5
"gamm_int_slope...93",9.36440553672898,-485.837679267071,0.380809792170404,0.422039586663571,"d_peak_2","csci",6,0.5
"gamm_intercept...94",9.45686753673414,-438.336970139176,0.359014525592292,0.397301364294227,"d_peak_5","csci",6,0.5
"gamm_slope...95",9.82660752541199,-106.860614223001,0.120934162052361,0.118613151269268,"d_peak_5","csci",6,0.5
"gamm_int_slope...96",9.50265260057133,-445.263106423258,0.359132256022925,0.397400696020911,"d_peak_5","csci",6,0.5
"gamm_intercept...97",9.98381180777133,-490.936623613228,0.388366895804835,0.424803371347306,"d_sp_mag","csci",6,0.5
"gamm_slope...98",9.36022765371297,-166.003119997599,0.179574143046756,0.181027228183477,"d_sp_mag","csci",6,0.5
"gamm_int_slope...99",12.4384165227132,-493.487091685082,0.395812958901737,0.42732637699745,"d_sp_mag","csci",6,0.5
"gamm_intercept...100",9.91082855632904,-478.103123075319,0.379003175283666,0.415422513969139,"d_wet_bfl_mag_10","csci",6,0.5
"gamm_slope...101",9.64962943058832,-164.037221434001,0.161636506846691,0.160568119202794,"d_wet_bfl_mag_10","csci",6,0.5
"gamm_int_slope...102",11.6387763614719,-478.14527306787,0.381530199595569,0.416098393363079,"d_wet_bfl_mag_10","csci",6,0.5
"gamm_intercept...103",9.78303257375702,-447.568371425073,0.36379712047085,0.395872303210261,"d_wet_bfl_mag_50","csci",6,0.5
"gamm_slope...104",9.68470291081736,-74.4100838690462,0.0831030712589973,0.0759822624474121,"d_wet_bfl_mag_50","csci",6,0.5
"gamm_int_slope...105",9.81733559251685,-451.076538962858,0.363954133060245,0.395959969618152,"d_wet_bfl_mag_50","csci",6,0.5
"gamm_intercept...106",6.7532643861554,-421.807623359762,0.344324378745031,0.385225821971036,"delta_q99","csci",6,0.5
"gamm_slope...107",9.80943474346449,-97.2410916930133,0.108520563325539,0.108196814926386,"delta_q99","csci",6,0.5
"gamm_int_slope...108",6.81787997657001,-428.559218760734,0.347064532151498,0.385298920134098,"delta_q99","csci",6,0.5
