"","Index","masterid","Threshold","BioThresh","Flow.Metric.Name","Quantile","Lower2","Upper2"
"98","csci","SMC08150","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"99","csci","SMC08335","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"100","csci","SMC11727","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"101","csci","SMC13391","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"102","csci","909S14218","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"103","csci","SMC16169","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"104","csci","SMC16266","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"105","csci","SMC16446","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"106","csci","SMC16980","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"107","csci","SMC17056","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"108","csci","SMC19697","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"109","csci","SMC19809","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"110","csci","SMC19945","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"111","csci","SMC20497","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"112","csci","SMC32718","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"113","csci","SMC33179","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"114","csci","SMC35697","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"115","csci","SMC35837","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"116","csci","801CBN012","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"117","csci","801STW051","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"118","csci","801SAN068","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"119","csci","801STC071","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"120","csci","801XXX118","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"121","csci","801EBC126","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"122","csci","801STC149","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"123","csci","801SJR159","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"124","csci","802INC172","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"125","csci","801STW208","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"126","csci","802HYC496","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"127","csci","402M00114","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"128","csci","402M00127","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"129","csci","402M00130","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"130","csci","903M20124","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"131","csci","905M21721","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"132","csci","905M21789","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"133","csci","906M21758","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"134","csci","907BCT","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"135","csci","902M18864","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"136","csci","904M21720","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"137","csci","907M23349","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"138","csci","907M23362","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"139","csci","907M23367","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"140","csci","910M24979","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"141","csci","402M00058","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"142","csci","402M00090","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"143","csci","403M01560","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"144","csci","404M04672","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"145","csci","404M07346","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"146","csci","404M07349","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"147","csci","404M07362","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"148","csci","404M07372","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"149","csci","404M07375","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"150","csci","404M07376","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"151","csci","405PS0030","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"152","csci","412M08638","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"153","csci","412WE0552","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"154","csci","801M16916","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"155","csci","801M16957","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"156","csci","801M16973","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"157","csci","802M17015","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"158","csci","801BNC530","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"159","csci","801BRC184","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"160","csci","801CJW027","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"161","csci","801EBC686","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"162","csci","801ETC226","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"163","csci","801M15530","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"164","csci","801M15547","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"165","csci","801MIC370","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"166","csci","801RB8312","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"167","csci","801RB8494","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"168","csci","801WE1008","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"169","csci","801XXX112","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"170","csci","802SJC453","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"171","csci","802SWC020","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"172","csci","901ATCAAS","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"173","csci","901BCCBCT","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"174","csci","901BCCSRT","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"175","csci","901NP9LCC","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"176","csci","901SJMS1x","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"177","csci","901SJSMT2","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"178","csci","901SMCSMR","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"179","csci","901TCSMP1","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"180","csci","902M20273","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"181","csci","902SCDLRx","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"182","csci","902SSMR05","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"183","csci","903GIR2xx","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"184","csci","903SLFRCx","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"185","csci","903SLGRD2","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"186","csci","901M14126","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"187","csci","901M14134","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"188","csci","901M14137","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"189","csci","901M14138","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"190","csci","901M14149","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"191","csci","902M18893","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"192","csci","902M18929","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"193","csci","902M20301","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"194","csci","903M20177","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"195","csci","904M21729","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"196","csci","904M21761","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"197","csci","904M21764","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"198","csci","905M21791","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"199","csci","906M21790","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"200","csci","906M23318","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"201","csci","906M23361","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"202","csci","907M23385","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"203","csci","907M23408","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
"204","csci","909M24969","NAT",0.79,"Spring recession magnitude",0.9,-51409.3499565775,2173.81217636572
