"","masterid","latitude","longitude","huc","county","smcshed","csci","sampledate","sampleyear","fieldreplicate","CSCI.Score","Modified.Class","Unhealthy Biology, Unlikely Stressed","Unhealthy Biology, Likely Stressed","Healthy Biology, Unlikely Stressed","Healthy Biology, Likely Stressed","Unhealthy Biology,  Very Likely Stressed","Healthy Biology,  Very Likely Stressed","Total Stressed FFM"
"52","SMC05407",34.50124,-119.35043,402,"Ventura","Ventura",1.01209826,2011-07-21,2011,1,1.01209826,"Natural",0,0,2,7,0,0,0
"53","403M05774",34.42692,-118.62067,403,"Los Angeles","Santa Clara",0.76272586,2016-06-22,2016,1,0.76272586,"Natural",0,9,0,0,0,0,9
"54","907BCT",32.96654,-116.65211,907,"San Diego","Mission Bay and San Diego River",0.86788744,2014-04-17,2014,1,0.9583806,"Natural",0,0,2,7,0,0,0
"55","SMC01979",34.45205,-119.13624,403,"Ventura","Santa Clara",0.94480292,2011-07-14,2011,1,0.94480292,"Natural",0,0,1,8,0,0,0
"56","SMC03929",33.17865,-117.30453,904,"San Diego","Central San Diego",0.73059828,2012-07-05,2012,1,0.73059828,"Natural",0,9,0,0,0,0,9
"57","SMC06740",34.1807,-118.87436,408,"Ventura","Calleguas",0.52573471,2013-06-10,2013,1,0.52573471,"Hard Bottom",2,7,0,0,0,0,7
"58","SMC22521",33.87789,-117.54048,801,"Riverside","Middle Santa Ana",0.49731068,2013-06-13,2013,1,0.49731068,"Hard Bottom",0,9,0,0,0,0,9
"59","SMC00236",34.08951,-117.94783,405,"Los Angeles","San Gabriel",0.44057374,2021-07-08,2021,1,0.44057374,"Hard Bottom",0,9,0,0,0,0,9
"60","412M08646",34.1289,-118.08133,412,"Los Angeles","Los Angeles",0.63867762,2019-07-16,2019,1,0.63867762,"Hard Bottom",3,6,0,0,0,0,6
"61","SMC12862",33.92148,-118.11149,405,"Los Angeles","San Gabriel",0.36552573,2019-07-22,2019,1,0.36552573,"Hard Bottom",0,7,0,0,2,0,9
"62","SMC04121",33.18466,-117.19833,904,"San Diego","Central San Diego",0.51538713,2012-07-09,2012,1,0.51538713,"Natural",1,8,0,0,0,0,8
"63","SMC04880",34.30884,-118.09829,412,"Los Angeles","Los Angeles",0.9317443,2012-06-06,2012,1,0.9317443,"Natural",0,0,2,7,0,0,0
"64","901M14134",33.59231,-117.63283,901,"Orange","San Juan",0.66986137,2016-04-25,2016,1,0.66986137,"Natural",3,6,0,0,0,0,6
"65","SMC00345",33.21048,-117.22484,904,"San Diego","Central San Diego",0.5701193,2011-07-19,2011,1,0.5701193,"Natural",2,7,0,0,0,0,7
"66","SMC02988",34.16168,-117.99022,412,"Los Angeles","Los Angeles",0.64388338,2014-06-12,2014,1,0.64388338,"Hard Bottom",2,7,0,0,0,0,7
"67","SMC07085",33.88382,-117.51705,801,"Riverside","Middle Santa Ana",0.46263341,2011-06-21 10:00:00,2011,1,0.46263341,"Hard Bottom",0,9,0,0,0,0,9
"68","402M00042",34.46039,-119.28891,402,"Ventura","Ventura",0.66807478,2017-04-19,2017,1,0.66807478,"Natural",4,5,0,0,0,0,5
"69","402M00009",34.41824,-119.37505,402,"Ventura","Ventura",0.28871308,2015-06-29,2015,1,0.28871308,"Natural",2,7,0,0,0,0,7
"70","906M23361",32.84373,-117.21115,906,"San Diego","Mission Bay and San Diego River",0.68469947,2019-04-29,2019,1,0.68469947,"Natural",1,8,0,0,0,0,8
"71","402M00127",34.42503,-119.26342,402,"Ventura","Ventura",0.65418093,2019-06-10,2019,1,0.65418093,"Natural",3,6,0,0,0,0,6
"72","404M07372",34.13604,-118.75743,404,"Los Angeles","Santa Monica Bay",0.52934004,2019-07-09,2019,1,0.52934004,"Natural",0,9,0,0,0,0,9
"73","802M17015",33.73057,-116.80939,802,"Riverside","San Jacinto",0.95669495,2020-06-08,2020,1,0.95669495,"Natural",0,0,2,7,0,0,0
"74","SMC01413",33.30552,-116.80627,903,"San Diego","Northern San Diego",0.84024089,2012-07-09,2012,2,0.8784077,"Natural",0,0,1,8,0,0,0
"75","404M07368",34.1264,-118.75364,404,"Los Angeles","Santa Monica Bay",0.46191342,2018-06-20,2018,1,0.46191342,"Natural",0,9,0,0,0,0,9
"76","904M21713",33.11944,-117.09511,904,"San Diego","Central San Diego",0.50790164,2015-06-26,2015,1,0.50790164,"Hard Bottom",4,5,0,0,0,0,5
"77","SMC01257",33.60842,-117.61859,901,"Orange","San Juan",0.68267913,2011-06-16,2011,1,0.68267913,"Soft Bottom (2)",3,6,0,0,0,0,6
"78","SMC01372",34.43437,-118.61386,403,"Los Angeles","Santa Clara",0.6878702,2010-07-13,2010,2,0.71244617,"Natural",0,9,0,0,0,0,9
"79","801M12625",33.69499,-117.93471,801,"Orange","Lower Santa Ana",0.39757171,2015-07-01,2015,1,0.39757171,"Hard Bottom",1,2,0,0,6,0,8
"80","SMC01912",34.23429,-118.60295,412,"Los Angeles","Los Angeles",0.40445942,2012-07-12,2012,1,0.40445942,"Hard Bottom",1,8,0,0,0,0,8
"81","SMC02206",33.87098,-117.85002,801,"Orange","Lower Santa Ana",0.52646484,2011-07-19,2011,1,0.52646484,"Soft Bottom (2)",4,5,0,0,0,0,5
"82","SMC02417",33.13385,-117.06236,904,"San Diego","Central San Diego",0.5792463,2011-07-20,2011,1,0.5792463,"Hard Bottom",4,5,0,0,0,0,5
