"","df","AIC","DevianceExplained","RSquared","Variable","Metric","Smooths","Model"
"gamm_int_slope...30",14.6161703824123,-496.599208154365,0.433258548843244,0.425128702064952,"d_ds_mag_50","csci",6,"gamm_int_slope"
"gamm_intercept...31",10.786129206366,-481.78185038652,0.417624398755262,0.411657737956449,"d_fa_mag","csci",6,"gamm_intercept"
"gamm_slope...32",10.6611908630046,-333.316433002144,0.302740025816345,0.29554962488948,"d_fa_mag","csci",6,"gamm_slope"
"gamm_int_slope...33",13.2108410077828,-481.929931988,0.421137278210568,0.414086498888908,"d_fa_mag","csci",6,"gamm_int_slope"
"gamm_intercept...34",10.7093759080692,-466.562347775138,0.406684087144719,0.400773575996904,"d_peak_10","csci",6,"gamm_intercept"
"gamm_slope...35",10.5348964600094,-185.263613809138,0.165606736468678,0.157479093400587,"d_peak_10","csci",6,"gamm_slope"
"gamm_int_slope...36",10.7212265182764,-466.552645730722,0.40669414266954,0.400779279083347,"d_peak_10","csci",6,"gamm_int_slope"
"gamm_intercept...37",10.2292803702435,-497.885267110883,0.428097659786561,0.422472322193116,"d_peak_2","csci",6,"gamm_intercept"
"gamm_slope...38",10.5911942476329,-102.376087540151,0.0776575174365207,0.0688141579425825,"d_peak_2","csci",6,"gamm_slope"
"gamm_int_slope...39",10.2296598265688,-497.884577755887,0.428097707946589,0.422472292775727,"d_peak_2","csci",6,"gamm_int_slope"
"gamm_intercept...40",10.4622243753477,-463.66764761021,0.404244764924111,0.398497993441087,"d_peak_5","csci",6,"gamm_intercept"
"gamm_slope...41",10.7641662935364,-147.263453399297,0.126808636257439,0.118134346868453,"d_peak_5","csci",6,"gamm_slope"
"gamm_int_slope...42",10.4629791954508,-463.666182010299,0.404244796688319,0.398497871092629,"d_peak_5","csci",6,"gamm_int_slope"
"gamm_intercept...43",10.982659729587,-501.533336590892,0.431655623981365,0.425549621436285,"d_sp_mag","csci",6,"gamm_intercept"
"gamm_slope...44",10.4502269591736,-208.997634772958,0.1890745230528,0.181029031504941,"d_sp_mag","csci",6,"gamm_slope"
"gamm_int_slope...45",14.0857792395781,-503.525982148663,0.437269110308711,0.429596419872852,"d_sp_mag","csci",6,"gamm_int_slope"
"gamm_intercept...46",10.9006470087558,-487.614393504592,0.421882503296352,0.415823668994127,"d_wet_bfl_mag_10","csci",6,"gamm_intercept"
"gamm_slope...47",10.6765805866498,-188.302212337409,0.168955719967063,0.161071261831343,"d_wet_bfl_mag_10","csci",6,"gamm_slope"
"gamm_int_slope...48",12.951652271165,-486.20003248873,0.423760532467556,0.416854089616404,"d_wet_bfl_mag_10","csci",6,"gamm_int_slope"
"gamm_intercept...49",10.7256674861467,-460.020942528707,0.401990330398482,0.395999572662535,"d_wet_bfl_mag_50","csci",6,"gamm_intercept"
"gamm_slope...50",10.8517846441193,-111.275044912008,0.0881166418740092,0.0788863422486155,"d_wet_bfl_mag_50","csci",6,"gamm_slope"
"gamm_int_slope...51",10.7265899486173,-460.01957243446,0.401990674167567,0.395999576475229,"d_wet_bfl_mag_50","csci",6,"gamm_int_slope"
"gamm_intercept...52",7.99266244882643,-449.165740965501,0.390056542745669,0.385897842151751,"delta_q99","csci",6,"gamm_intercept"
"gamm_slope...53",10.7982289626815,-137.755330182118,0.11677206605283,0.1078607777409,"delta_q99","csci",6,"gamm_slope"
"gamm_int_slope...54",10.3435993291183,-450.967926703946,0.394840478120773,0.389208442641719,"delta_q99","csci",6,"gamm_int_slope"
