"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","Quantile"
"242","csci_Wet_BFL_Mag_50_15_0.7",-231.795432137839,35.8013405666252,-231.795432137839,35.8013405666252,-268.265613503316,178.35946674393,-92.0723479668961,0.744035822385019,-257.985435048231,171.547828994372,-233.864494833977,37.4900314588747,-240.136504301398,44.0176309297847,143499,"csci","Wet_BFL_Mag_50",15,"0.7"
"243","csci_Q99_15_0.7",-845.343384487551,NA,-845.343384487551,NA,-4611.10101712574,NA,-258.426364371052,187.700991105653,-4402.72287642368,NA,-880.352561038563,NA,-996.188814985333,NA,33828,"csci","Q99",15,"0.7"
"244","csci_DS_Mag_50_15_0.5",-8.42134776484638,2.18241622092014,-8.42134776484638,2.18241622092014,-24.2636707544068,11.2722975730578,NA,NA,-19.3072088524744,9.24601723842715,-9.21704045153921,2.77242854792659,-11.6099496687209,4.58441679614629,14141,"csci","DS_Mag_50",15,"0.5"
"245","csci_FA_Mag_15_0.5",-20.4376188687501,29.5692189140165,-20.4376188687501,29.5692189140165,-94.7150770643363,66.1613291964325,NA,NA,-78.8842504833707,57.112885834065,-26.8248108926657,32.5826143317559,-43.5135764472361,40.1003089435244,11590,"csci","FA_Mag",15,"0.5"
"246","csci_Peak_10_15_0.5",-191.889337730949,1329.01422077843,-191.889337730949,1329.01422077843,-1565.10969622965,6151.18948766052,NA,NA,-1187.59309395973,5350.31441179159,-282.28308596001,1512.84709514302,-529.669532201525,2285.43071535469,17273,"csci","Peak_10",15,"0.5"
"247","csci_Peak_2_15_0.5",-12.2524340493677,1486.18250736467,-12.2524340493677,1486.18250736467,-1885.86154020754,108.167094195433,NA,NA,-386.738547250913,77.7757025533809,-3.85661755186936,1452.4492959032,-280.221368224357,19.5633801179171,17980,"csci","Peak_2",15,"0.5"
"248","csci_Peak_5_15_0.5",-605.904164763019,63.1954591139519,-605.904164763019,63.1954591139519,-1809.9124599795,3477.00171344196,-10752.5674545789,NA,-1543.1079729184,3021.39849037064,-738.784177459107,198.054939977216,-1012.9636842268,532.130014653984,18999,"csci","Peak_5",15,"0.5"
"249","csci_SP_Mag_15_0.5",NA,9.91473841372791,NA,9.91473841372791,-67.589603153766,258.619104943755,NA,NA,-51.4404148746374,238.157584532842,NA,2.7157849159968,-15.014028549362,193.642189130123,14103,"csci","SP_Mag",15,"0.5"
"250","csci_Wet_BFL_Mag_10_15_0.5",-3.23793672491295,1.24169365228641,-3.23793672491295,1.24169365228641,-13.2256845363259,10.521503894729,-27.7836967706555,NA,-12.3800560719201,9.64892644095999,-2.70096642538107,0.829649314059408,-10.5573731106734,8.02317502493774,79019,"csci","Wet_BFL_Mag_10",15,"0.5"
"251","csci_Wet_BFL_Mag_50_15_0.5",-103.098231588862,NA,-103.098231588862,NA,-43.0158086281034,34.4452893781218,-124.201726961625,NA,-35.3899886872074,28.9870677582189,-5.44692815847985,12.5669442617502,-18.9118105007021,18.6477359624251,143499,"csci","Wet_BFL_Mag_50",15,"0.5"
"252","csci_Q99_15_0.5",-86.584816557134,24.5123410053553,-86.584816557134,24.5123410053553,-861.454391174135,NA,-15862.8650942443,NA,-741.678226755458,NA,-166.946608794681,93.6677315707432,-372.999729595581,237.815655357788,33828,"csci","Q99",15,"0.5"
"253","csci_DS_Mag_50_15_0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14141,"csci","DS_Mag_50",15,"0.1"
"254","csci_FA_Mag_15_0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11590,"csci","FA_Mag",15,"0.1"
"255","csci_Peak_10_15_0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17273,"csci","Peak_10",15,"0.1"
"256","csci_Peak_2_15_0.1",NA,NA,NA,NA,-3210.56525770503,NA,NA,NA,NA,NA,NA,NA,NA,NA,17980,"csci","Peak_2",15,"0.1"
"257","csci_Peak_5_15_0.1",NA,NA,NA,NA,-4342.49200782459,NA,NA,NA,NA,NA,NA,NA,NA,NA,18999,"csci","Peak_5",15,"0.1"
"258","csci_SP_Mag_15_0.1",NA,NA,NA,NA,NA,1986.07296204763,NA,NA,NA,2073.14517397351,NA,NA,NA,2239.61475525246,14103,"csci","SP_Mag",15,"0.1"
"259","csci_Wet_BFL_Mag_10_15_0.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79019,"csci","Wet_BFL_Mag_10",15,"0.1"
"260","csci_Wet_BFL_Mag_50_15_0.1",NA,NA,NA,NA,-133.623564405391,NA,NA,NA,-143.975878567057,NA,NA,NA,NA,NA,143499,"csci","Wet_BFL_Mag_50",15,"0.1"
"261","csci_Q99_15_0.1",NA,NA,NA,NA,-13385.4694062039,NA,NA,NA,-15109.424922151,NA,NA,NA,NA,NA,33828,"csci","Q99",15,"0.1"
"262","csci_DS_Mag_50_15_0.3",NA,NA,NA,NA,-12.0990598607494,3.98069486246491,NA,NA,-8.79814652584299,1.64248690218745,NA,NA,NA,NA,14141,"csci","DS_Mag_50",15,"0.3"
"263","csci_FA_Mag_15_0.3",NA,NA,NA,NA,-64.6648231941888,35.2622713444925,NA,NA,-46.266035543411,22.621552450031,NA,NA,NA,NA,11590,"csci","FA_Mag",15,"0.3"
