"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Categories","MaxScore"
"46","404M04672",2020,0.7231196,13.157228021978,"DS_Mag_50","NAT",0.8231196,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","No",85.0445643606331,"Type E",0.7231196
"47","SMC05968",2020,0.92788204,-7.2275929070929,"DS_Mag_50","NAT",1.02788204,31.27,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",0.92788204
"48","906M21758",2017,0.76665115,4.91313836163836,"DS_Mag_50","NAT",0.86665115,99.94,"NAT",-11.2137267672896,1.96772076875167,"No","No",59.9498197706872,"Type E",0.76665115
"49","SMC05407",2011,1.01209826,1.23608391608391,"DS_Mag_50","NAT",1.11209826,100.32,"NAT",-11.2137267672896,1.96772076875167,"Yes","Yes",NA,"Type X",1.01209826
"50","403M05774",2016,0.76272586,10.5921439393939,"DS_Mag_50","NAT",0.86272586,99.98,"NAT",-11.2137267672896,1.96772076875167,"No","No",81.4228282771593,"Type E",0.76272586
"51","SMC01979",2011,0.94480292,10.7178681318681,"DS_Mag_50","NAT",1.04480292,100.02,"NAT",-11.2137267672896,1.96772076875167,"No","Yes",81.6407447400764,"Type X",0.94480292
"52","SMC03929",2012,0.73059828,2.35464493839494,"DS_Mag_50","NAT",0.83059828,99.8,"NAT",-11.2137267672896,1.96772076875167,"No","No",16.4323785439608,"Type E",0.73059828
"53","SMC06740",2013,0.52573471,12.8356191308691,"DS_Mag_50","HB",0.62573471,10.99,"NAT",-11.2137267672896,1.96772076875167,"No","No",84.6698414101476,"Type E",0.52573471
"54","SMC22521",2013,0.49731068,2.49595596070596,"DS_Mag_50","HB",0.59731068,420.68,"NAT",-11.2137267672896,1.96772076875167,"No","No",21.1636423186282,"Type E",0.49731068
"55","SMC00236",2021,0.44057374,4.40859865134864,"DS_Mag_50","HB",0.54057374,272.2,"NAT",-11.2137267672896,1.96772076875167,"No","No",55.3662983553805,"Type E",0.44057374
"56","412M08646",2019,0.63867762,1.13202347652348,"DS_Mag_50","HB",0.73867762,370.13,"NAT",-11.2137267672896,1.96772076875167,"Yes","No",NA,"Type A",0.63867762
"57","SMC12862",2019,0.36552573,22.6159293206793,"DS_Mag_50","HB",0.46552573,1.11,"NAT",-11.2137267672896,1.96772076875167,"No","No",91.29940343883,"Type D",0.36552573
