"","metric","Index","Hydro_endpoint","SmoothingFunc","Quantile","ChosenSmth","Threshold","BioThresh","CurveStatus","Lower2","Upper2"
"69","csci_Peak_10","csci","Peak_10",3,0.9,3,"SB2",0.75,"Passes",-9870.56426280751,1699.85358774559
"70","asci_Peak_2","asci","Peak_2",3,0.9,3,"NAT",0.86,"Passes",-1365.04373242624,1699.85358774559
"71","asci_Peak_2","asci","Peak_2",3,0.9,3,"NATMed",0.86,"Passes",-1365.04373242624,1699.85358774559
"72","asci_Peak_2","asci","Peak_2",3,0.9,3,"NATLow",0.75,"Passes",-2189.54685400319,1699.85358774559
"73","asci_Peak_2","asci","Peak_2",3,0.9,3,"NATHigh",0.94,"Passes",-864.31232161894,1699.85358774559
"74","asci_Peak_2","asci","Peak_2",3,0.9,3,"HB",0.87,"Passes",-1299.37332824727,1699.85358774559
"75","asci_Peak_2","asci","Peak_2",3,0.9,3,"SB0",0.79,"Passes",-1862.69853089394,1699.85358774559
"76","asci_Peak_2","asci","Peak_2",3,0.9,3,"SB2",0.76,"Passes",-2103.94485772024,1699.85358774559
"77","csci_Peak_2","csci","Peak_2",3,0.9,3,"NAT",0.79,"Passes",-2704.69373773888,1699.85358774559
"78","csci_Peak_2","csci","Peak_2",3,0.9,3,"NATMed",0.79,"Passes",-2704.69373773888,1699.85358774559
"79","csci_Peak_2","csci","Peak_2",3,0.9,3,"NATHigh",0.92,"Passes",-1461.82277670482,1699.85358774559
"80","csci_Peak_2","csci","Peak_2",3,0.9,3,"SB0",0.78,"Passes",-2847.45363797219,1699.85358774559
"81","csci_Peak_2","csci","Peak_2",3,0.9,3,"SB2",0.75,"Passes",-3417.42360478908,1699.85358774559
"82","asci_Peak_5","asci","Peak_5",3,0.9,3,"NAT",0.86,"Passes",-3260.64916394653,1699.85358774559
"83","asci_Peak_5","asci","Peak_5",3,0.9,3,"NATMed",0.86,"Passes",-3260.64916394653,1699.85358774559
"84","asci_Peak_5","asci","Peak_5",3,0.9,3,"NATLow",0.75,"Passes",-5823.03737386285,1699.85358774559
"85","asci_Peak_5","asci","Peak_5",3,0.9,3,"NATHigh",0.94,"Passes",-1754.7507615311,1699.85358774559
"86","asci_Peak_5","asci","Peak_5",3,0.9,3,"HB",0.87,"Passes",-3061.22221181959,1699.85358774559
"87","asci_Peak_5","asci","Peak_5",3,0.9,3,"SB0",0.79,"Passes",-4792.14235160298,1699.85358774559
"88","asci_Peak_5","asci","Peak_5",3,0.9,3,"SB2",0.76,"Passes",-5550.6473729542,1699.85358774559
"89","csci_Peak_5","csci","Peak_5",3,0.9,3,"NAT",0.79,"Passes",-5929.55804936704,1699.85358774559
"90","csci_Peak_5","csci","Peak_5",3,0.9,3,"NATMed",0.79,"Passes",-5929.55804936704,1699.85358774559
"91","csci_Peak_5","csci","Peak_5",3,0.9,3,"NATHigh",0.92,"Passes",-3114.60880303002,1699.85358774559
"92","csci_Peak_5","csci","Peak_5",3,0.9,3,"SB0",0.78,"Passes",-6243.37473350509,1699.85358774559
"93","csci_Peak_5","csci","Peak_5",3,0.9,3,"SB2",0.75,"Passes",-7464.87356826153,1699.85358774559
"94","asci_Q99","asci","Q99",3,0.9,3,"NAT",0.86,"Passes",-3203.48460085099,1699.85358774559
"95","asci_Q99","asci","Q99",3,0.9,3,"NATMed",0.86,"Passes",-3203.48460085099,1699.85358774559
"96","asci_Q99","asci","Q99",3,0.9,3,"NATLow",0.75,"Passes",-5115.25926601374,1699.85358774559
"97","asci_Q99","asci","Q99",3,0.9,3,"NATHigh",0.94,"Passes",-1875.48956816895,1699.85358774559
"98","asci_Q99","asci","Q99",3,0.9,3,"HB",0.87,"Passes",-3035.11954683229,1699.85358774559
