"","masterid","sampleyear","MetricValue","deltah_final","hydro.endpoints","ChannelType","csci_Incr","RelChangeInDeltaINC","Threshold","Lower2","Upper2","NoFlowProblem","HealthyCSCI","RelChangeInDelta","Match","Categories"
"2828","801STW208",2007,0.5852404,-66.8614115884115,"Peak_2","NAT",0.6852404,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2829","801ETC226",2006,0.71730206,0.00305161505160301,"Peak_2","NAT",0.81730206,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2830","801MIC370",2007,0.63835211,31.3390211455211,"Peak_2","NAT",0.73835211,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2831","801CYC398",2007,0.70761238,-5.9819155844156,"Peak_2","SB1",0.80761238,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2832","801SDC504",2008,0.29383873,112.151152514152,"Peak_2","SB1",0.39383873,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2833","801STW613",2009,0.54734921,-102.620620712621,"Peak_2","NAT",0.64734921,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2834","801EBC686",2007,0.66185253,727.098961871461,"Peak_2","NAT",0.76185253,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2835","901ATCDOS",2017,0.34272631,193.110598568099,"Peak_2","SB2",0.44272631,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2836","402M00015",2016,0.69814951,-146.020461704961,"Peak_2","NAT",0.79814951,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2837","402SNPMCR",2014,1.01181025,-74.7099553779553,"Peak_2","NAT",1.11181025,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2838","SMC20032",2010,0.28858026,-410.214877455878,"Peak_2","HB",0.38858026,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2839","SMC19945",2013,0.99119816,-151.569726273726,"Peak_2","NAT",1.09119816,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2840","SMC21921",2013,0.3158459,73.4874663669665,"Peak_2","HB",0.4158459,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2841","SMC20994",2013,0.54383597,-346.794152680652,"Peak_2","HB",0.64383597,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2842","SMC19809",2013,0.94319412,-78.1159640359639,"Peak_2","NAT",1.04319412,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2843","SMC21796",2013,0.49156904,104.021104895105,"Peak_2","HB",0.59156904,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2844","SMC35697",2010,0.80361567,-1626.9310909091,"Peak_2","NAT",0.90361567,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2845","SMC33179",2013,0.97632378,-1361.67464552115,"Peak_2","NAT",1.07632378,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2846","SMC35837",2012,0.62403347,-66.9771741591742,"Peak_2","NAT",0.72403347,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2847","SMC32718",2010,0.80344582,-584.848553446554,"Peak_2","NAT",0.90344582,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2848","SMC00899",2021,0.23630233,-121.289501665002,"Peak_2","HB",0.33630233,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2849","ME-SCR",2017,0.51612788,-2433.15351232101,"Peak_2","NAT",0.61612788,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2850","ME-SCR",2014,0.51544235,-2433.15351232101,"Peak_2","NAT",0.61544235,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2851","ME-SCR",2013,0.71436418,-2433.15351232101,"Peak_2","NAT",0.81436418,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2852","901S00531",2021,0.39622442,-163.701324342324,"Peak_2","HB",0.49622442,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2853","901S00531",2009,0.47473209,-163.701324342324,"Peak_2","HB",0.57473209,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2854","SMC00873",2017,0.57948929,-8.77042107892109,"Peak_2","NAT",0.67948929,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2855","SMC00873",2015,0.7222664,-8.77042107892109,"Peak_2","NAT",0.8222664,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2856","SMC00873",2016,0.62344358,-8.77042107892109,"Peak_2","NAT",0.72344358,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2857","SMC00873",2019,0.70721881,-8.77042107892109,"Peak_2","NAT",0.80721881,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2858","ME-SCR",2018,0.63308828,-2433.15351232101,"Peak_2","NAT",0.73308828,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2859","404M04674",2019,0.43666498,-205.620546287046,"Peak_2","SB2",0.53666498,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2860","801M12675",2019,0.49640118,-7943.91201298701,"Peak_2","SB0",0.59640118,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2861","901M14149",2019,0.65647705,844.485318181818,"Peak_2","NAT",0.75647705,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2862","402M00058",2019,0.74653736,-105.320462870463,"Peak_2","NAT",0.84653736,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2863","402M00114",2018,0.84854225,1243.63397036297,"Peak_2","NAT",0.94854225,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2864","403STC064",2011,1.01152816,-274.806750749251,"Peak_2","NAT",1.11152816,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2865","403WE0534",2017,0.74880112,-433.159886113886,"Peak_2","NAT",0.84880112,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2866","403WE0560",2018,0.77916871,-136.352704795205,"Peak_2","NAT",0.87916871,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2867","408S00036",2008,0.51206109,532.705243256742,"Peak_2","SB2",0.61206109,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2868","412PS0020",2008,0.43186577,516.897028305028,"Peak_2","HB",0.53186577,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2869","907SDBOC2",2022,1.13751762,-172.546478045764,"Peak_2","NAT",1.23751762,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2870","801BNC530",2014,0.81367679,-9.89190426240428,"Peak_2","NAT",0.91367679,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2871","801CYC398",2016,1.03554731,-5.9819155844156,"Peak_2","SB1",1.13554731,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2872","801MIC370",2007,0.8048265,31.3390211455211,"Peak_2","NAT",0.9048265,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2873","801SDC504",2012,0.38364989,112.151152514152,"Peak_2","SB1",0.48364989,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2874","801STW051",2006,0.57490221,-98.1867629037629,"Peak_2","NAT",0.67490221,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2875","801WE1008",2016,0.81311069,-9.89190426240428,"Peak_2","NAT",0.91311069,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
"2876","801XXX112",2008,0.57298824,-64.0476113886114,"Peak_2","NAT",0.67298824,0,"NAT",0,0,"No","No",100,"Yes","Type D"
"2877","902S00565",2009,0.83551237,-1213.45316616717,"Peak_2","NAT",0.93551237,0,"NAT",0,0,"No","Yes",100,"Yes","Type X"
